id,name,state,postcode,suburb,type
148,A B Paterson College,QLD,4214,Arundel,school
149,A.G.B.U. Alexander Primary School,NSW,2084,Duffys Forest,school
150,Abbotsford Primary School,VIC,3067,Abbotsford,school
151,Abbotsford Public School,NSW,2046,Abbotsford,school
152,Abbotsleigh,NSW,2076,Wahroonga,school
153,Abbotsleigh Junior School,NSW,2076,Wahroonga,school
154,Abercorn State School,QLD,4627,Abercorn,school
155,Aberdeen Public School,NSW,2336,Aberdeen,school
156,Aberfeldie Primary School,VIC,3040,Essendon,school
157,Aberfoyle Hub Primary School,SA,5159,Aberfoyle Park,school
158,Aberfoyle Park High School,SA,5159,Aberfoyle Park,school
159,Abergowrie State School,QLD,4850,Abergowrie,school
160,Abermain Public School,NSW,2326,Abermain,school
161,Aboriginal & Islander Independent Community School,QLD,4110,Acacia Ridge,school
162,Acacia Hill School,NT,0871,Sadadeen,school
163,Acacia Ridge State School,QLD,4110,Acacia Ridge,school
164,Academy of Mary Immaculate,VIC,3065,Fitzroy,school
165,Adam Road Primary School,WA,6230,South Bunbury,school
166,Adaminaby Public School,NSW,2629,Adaminaby,school
167,Adamstown Public School,NSW,2289,Adamstown,school
168,Adass Israel School,VIC,3185,Elsternwick,school
169,Adass Israel School - Glen Eira Road Campus,VIC,3185,Elsternwick,school
170,Adass Israel School - Orrong Road Campus,VIC,3185,Elsternwick,school
171,Adelaide Botanic High School,SA,5000,Adelaide,school
172,Adelaide East Education Centre,SA,5074,Campbelltown,school
173,Adelaide High School,SA,5000,Adelaide,school
174,Adelaide International School,SA,5000,Adelaide,school
175,Adelaide North Special School,SA,5115,Munno Para West,school
176,Adelaide River School,NT,0846,Adelaide River,school
177,Adelaide Secondary School of English,SA,5008,West Croydon,school
178,Adelaide West Special Education Centre,SA,5017,Taperoo,school
179,Adelong Public School,NSW,2729,Adelong,school
180,Advance College of Education Incorporated,VIC,3940,Rosebud West,school
181,Advance College of Education Incorporated - Hastings Hub,VIC,3915,Hastings,school
182,Advance College of Education Incorporated - Mornington Campus,VIC,3931,Mornington,school
183,Aetaomah School,NSW,2484,Terragon,school
184,Agnes Water State School,QLD,4677,Agnes Water,school
185,Ainslie Parklands Primary School,VIC,3136,Croydon,school
186,Ainslie School,ACT,2612,Braddon,school
187,Aintree Primary School,VIC,3336,Aintree,school
188,Airdale Primary School,SA,5540,Port Pirie,school
189,Airds High School,NSW,2560,Campbelltown,school
190,Aireys Inlet Primary School,VIC,3231,Aireys Inlet,school
191,Airly Primary School,VIC,3851,Airly,school
192,Airville State School,QLD,4807,Airville,school
193,Aitken College,VIC,3059,Greenvale,school
194,Aitken Creek Primary School,VIC,3064,Craigieburn,school
195,Aitken Hill Primary School,VIC,3064,Craigieburn,school
196,Aitkenvale State School,QLD,4814,Aitkenvale,school
197,Ajuga School,NSW,2167,Glenfield,school
198,Al Amanah College,NSW,2170,Liverpool,school
199,"Al Amanah College, Bankstown campus",NSW,2200,Bankstown,school
200,Al Hikma College,NSW,2195,Lakemba,school
201,Al Iman College,VIC,3338,Melton South,school
202,Al Noori Muslim School,NSW,2190,Greenacre,school
203,Al Noori Muslim School - Senior Campus,NSW,2190,Greenacre,school
204,Al Sadiq College,NSW,2190,Greenacre,school
205,Al Sadiq College Yagoona Campus,NSW,2199,Yagoona,school
206,Al Siraat College,VIC,3076,Epping,school
207,Al Zahra College,NSW,2205,Arncliffe,school
208,Alamanda K-9 College,VIC,3030,Point Cook,school
209,Al-Ameen College,WA,6147,Langford,school
210,Alawa Primary School,NT,0810,Alawa,school
211,Albanvale Primary School,VIC,3021,Albanvale,school
212,Albany Creek State High School,QLD,4035,Albany Creek,school
213,Albany Creek State School,QLD,4035,Albany Creek,school
214,Albany Hills State School,QLD,4035,Albany Creek,school
215,Albany Primary School,WA,6330,Albany,school
216,Albany Rise Primary School,VIC,3170,Mulgrave,school
217,Albany Secondary Education Support Centre,WA,6330,Albany,school
218,Albany Senior High School,WA,6330,Albany,school
219,Albert Park College,VIC,3206,Albert Park,school
220,Albert Park College-Environmental Arts Hub,VIC,3207,Albert Park,school
221,Albert Park Flexible School,QLD,4064,Milton,school
222,Albert Park Primary School,VIC,3206,Albert Park,school
223,Albert Park Public School,NSW,2480,East Lismore,school
224,Albert State School,QLD,4650,Maryborough,school
225,Alberton Primary School,SA,5014,Queenstown,school
226,Alberton Primary School,VIC,3971,Alberton,school
227,Albion North Primary School,VIC,3020,Sunshine North,school
228,Albion Park High School,NSW,2527,Albion Park,school
229,Albion Park Public School,NSW,2527,Albion Park,school
230,Albion Park Rail Public School,NSW,2527,Albion Park,school
231,Albion Primary School,VIC,3020,Albion,school
232,Albuera Street Primary School,TAS,7004,Battery Point,school
233,Albury High School,NSW,2640,Albury,school
234,Albury North Public School,NSW,2640,Albury,school
235,Albury Public School,NSW,2640,Albury,school
236,Albury West Public School,NSW,2640,Albury,school
237,Alcoota School,NT,0872,Engawala,school
238,Aldavilla Public School,NSW,2440,Yarravel,school
239,Aldercourt Primary School,VIC,3200,Frankston North,school
240,Aldgate Primary School,SA,5154,Aldgate,school
241,Aldinga Beach Primary School,SA,5173,Aldinga,school
242,Aldinga Payinthi College,SA,5173,Aldinga,school
243,Aldridge State High School,QLD,4650,Maryborough,school
244,Alekarenge School,NT,0872,Ali Curung,school
245,Alesco Secondary College,NSW,2300,Cooks Hill,school
246,Alesco Secondary College - Abermain Campus,NSW,2326,Abermain,school
247,Alesco Secondary College - Charlestown Campus,NSW,2290,Charlestown,school
248,Alesco Secondary College - Coast Campus,NSW,2428,Tuncurry,school
249,Alesco Secondary College - Northlakes Campus,NSW,2284,Argenton,school
250,Alesco Secondary College - Raymond Terrace Campus,NSW,2324,Raymond Terrace,school
251,Alesco Secondary College - Tomaree Campus,NSW,2315,Nelson Bay,school
252,Alexandra Bay State School,QLD,4873,Diwan,school
253,Alexandra Hills State High School,QLD,4161,Alexandra Hills,school
254,Alexandra Hills TAFE Senior Studies Program,QLD,4157,Alexandra Hills,school
255,Alexandra Hills State School,QLD,4161,Alexandra Hills,school
256,Alexandra Primary School,VIC,3714,Alexandra,school
257,Alexandra Secondary College,VIC,3714,Alexandra,school
258,Alexandria Park Community School,NSW,2015,Alexandria,school
259,Al-Faisal College,NSW,2144,Auburn,school
260,Al-Faisal College - Lakemba,NSW,2195,Lakemba,school
261,Al-Faisal College - Campbelltown,NSW,2566,Minto,school
262,Al-Faisal College - Liverpool,NSW,2179,Austral,school
263,Alfords Point Public School,NSW,2234,Alfords Point,school
264,Alfred Deakin High School,ACT,2600,Deakin,school
265,Alfredton Primary School,VIC,3350,Alfredton,school
266,Algester State School,QLD,4115,Algester,school
267,Al-Hidayah Islamic School,WA,6102,Bentley,school
268,Alia College,VIC,3123,Hawthorn East,school
269,Alice Miller School,VIC,3440,Macedon,school
270,Alice Miller School - Candlebark Campus,VIC,3434,Romsey,school
271,Alice Springs School Of The Air,NT,0870,Alice Springs,school
272,Alice Springs Steiner School,NT,0873,Ross,school
273,Alinjarra Primary School,WA,6064,Alexander Heights,school
274,Alkimos Baptist College,WA,6030,Merriwa,school
275,Alkimos Beach Primary School,WA,6038,Alkimos,school
276,Alkimos College,WA,6038,Alkimos,school
277,Alkimos Primary School,WA,6038,Alkimos,school
278,Alkira Secondary College,VIC,3977,Cranbourne North,school
279,All Hallows Catholic Primary School,NSW,2852,Gulgong,school
280,All Hallows Catholic Primary School,NSW,2046,Five Dock,school
281,All Hallows' School,QLD,4000,Brisbane,school
282,All Saints Anglican School,QLD,4226,Merrimac,school
283,All Saints Anglican School,VIC,3631,Shepparton North,school
284,All Saints Catholic College,NSW,2170,Liverpool,school
285,"All Saints Catholic College, Casula Campus",NSW,2170,Casula,school
286,All Saints Catholic Primary School,SA,5169,Seaford,school
287,All Saints College,NSW,2320,Maitland,school
288,All Saints College (St Peter's),NSW,2320,Maitland,school
289,All Saints' College,WA,6149,Bull Creek,school
290,All Saints' College - Adelaide Street Campus,WA,6160,Fremantle,school
291,All Saints' College - Parry Street Campus,WA,6160,Fremantle,school
292,All Saints Grammar,NSW,2192,Belmore,school
293,All Saints Grammar Junior School,NSW,2192,Belmore,school
294,All Saints Parish School,VIC,3305,Portland,school
295,All Saints Primary School,QLD,4035,Albany Creek,school
296,All Saints Primary School,NSW,2653,Tumbarumba,school
297,All Saints' School,QLD,4310,Boonah,school
298,All Souls St Gabriels School,QLD,4820,Charters Towers,school
299,Allambie Heights Public School,NSW,2100,Allambie Heights,school
300,Allansford and District Primary School,VIC,3277,Allansford,school
301,Allanson Primary School,WA,6225,Allanson,school
302,Allegra School Coffs Harbour,NSW,2450,Coffs Harbour,school
303,Allenby Gardens Primary School,SA,5009,Allenby Gardens,school
304,Allendale East Area School,SA,5291,Allendale East,school
305,Allendale Primary School,WA,6530,Geraldton,school
306,Allenstown State School,QLD,4700,Allenstown,school
307,Alligator Creek State School,QLD,4740,Alligator Creek,school
308,Allora P-10 State School,QLD,4362,Allora,school
309,Alloway State School,QLD,4670,Alloway,school
310,Alma Public School,NSW,2880,Broken Hill,school
311,Aloomba State School,QLD,4871,Aloomba,school
312,Alpha Omega Senior College,NSW,2144,Auburn,school
313,"Alpha Omega Senior College, Queen Street Campus",NSW,2144,Auburn,school
314,Alpha State School,QLD,4724,Alpha,school
315,Alphington Grammar School,VIC,3078,Alphington,school
316,Alphington Primary School,VIC,3078,Alphington,school
317,Alpurrurulam School,NT,4825,Alpurrurulam,school
318,Alstonville High School,NSW,2477,Alstonville,school
319,Alstonville Public School,NSW,2477,Alstonville,school
320,Alta-1 College,QLD,4510,Caboolture,school
321,Alta-1 College - Sub Campus,QLD,4510,Caboolture,school
322,Alta-1 College - Joondalup Campus,WA,6027,Joondalup,school
323,Alta-1 College - Albany Marine VET Campus,WA,6330,Albany,school
324,Alta-1 College - Albany Middle School,WA,6331,Albany,school
325,Alta-1 College - Albany Senior School,WA,6330,Albany,school
326,Alta-1 College - Belmont Campus,WA,6104,Belmont,school
327,Alta-1 College - Bessemer Road Campus,WA,6172,Port Kennedy,school
328,Alta-1 College - Camillo,WA,6111,Camillo,school
329,Alta-1 College - Collingwood Heights Campus,WA,6330,Collingwood Heights,school
330,Alta-1 College - Como Campus,WA,6152,Como,school
331,Alta-1 College - Cooper Road Campus,WA,6164,Jandakot,school
332,Alta-1 College - Ellenbrook Campus,WA,6069,Ellenbrook,school
333,Alta-1 College - Girls' Campus Joondalup,WA,6027,Joondalup,school
334,Alta-1 College - Hammond Road Campus,WA,6164,Cockburn Central,school
335,Alta-1 College - Huntingdale Campus,WA,6110,Huntingdale,school
336,Alta-1 College - Malaga Campus,WA,6090,Malaga,school
337,Alta-1 College - Malaga Campus,WA,6090,Malaga,school
338,Alta-1 College - Merriwa Campus,WA,6030,Merriwa,school
339,Alta-1 College - Middle Swan campus,WA,6056,Middle Swan,school
340,Alta-1 College - Mullaloo Campus,WA,6027,Mullaloo,school
341,Alta-1 College - Stockton Road Campus,WA,6172,Port Kennedy,school
342,Alta-1 College - Winton Road Joondalup Campus,WA,6027,Joondalup,school
343,Alta-1 Kimberley College,WA,6743,Kununurra,school
344,Al-Taqwa College,VIC,3029,Hoppers Crossing,school
345,Al-Taqwa College - Olive Branch Annexe,VIC,3029,Hoppers Crossing,school
346,Altona College,VIC,3018,Altona,school
347,Altona Green Primary School,VIC,3028,Altona Meadows,school
348,Altona Meadows Primary School,VIC,3028,Altona Meadows,school
349,Altona North Primary School,VIC,3025,Altona North,school
350,Altona Primary School,VIC,3018,Altona,school
351,Alvie Primary School,VIC,3249,Alvie,school
352,Alyangula Area School,NT,0885,Alyangula,school
353,Alyarrmandumanja Umbakumba School,NT,0822,Umbakumba,school
354,Amamoor State School,QLD,4570,Amamoor,school
355,Amanbidji School,NT,0852,Timber Creek,school
356,Amaroo Primary School,WA,6225,Collie,school
357,Amaroo School,ACT,2914,Amaroo,school
358,Amata Anangu School,SA,5710,Amata,school
359,Ambarvale High School,NSW,2560,Rosemeadow,school
360,Ambarvale Public School,NSW,2560,Ambarvale,school
361,Amberley District State School,QLD,4305,Yamanto,school
362,Ambrose State School,QLD,4695,Ambrose,school
363,Ambrose Treacy College,QLD,4068,Indooroopilly,school
364,Amiens State School,QLD,4380,Amiens,school
365,"Amity College, Prestons",NSW,2170,Prestons,school
366,Amity College Auburn Campus,NSW,2144,Auburn,school
367,Amity College Illawarra Campus,NSW,2529,Shellharbour,school
368,Amity College Leppington Campus,NSW,2179,Leppington,school
369,Amoonguna School,NT,0873,Amoonguna,school
370,Amphitheatre Primary School,VIC,3468,Amphitheatre,school
371,Ampilatwatja School,NT,0872,Ampilatwatja,school
372,Amsleigh Park Primary School,VIC,3166,Oakleigh East,school
373,Anakie Primary School,VIC,3213,Anakie,school
374,Anakie State School,QLD,4702,The Gemfields,school
375,Andale School,VIC,3101,Kew East,school
376,Andamooka Primary School,SA,5722,Andamooka,school
377,Andergrove State School,QLD,4740,Andergrove,school
378,Andersons Creek Primary School,VIC,3113,Warrandyte,school
379,Andrews Creek Primary School,TAS,7307,Wesley Vale,school
380,Angaston Primary School,SA,5353,Angaston,school
381,Angelorum College,QLD,4006,Fortitude Valley,school
382,Angle Vale Primary School,SA,5117,Angle Vale,school
383,Anglesea Primary School,VIC,3230,Anglesea,school
384,Anglican Church Grammar School,QLD,4169,East Brisbane,school
385,Angurugu School,NT,0822,Angurugu,school
386,Anna Bay Public School,NSW,2316,Anna Bay,school
387,Annandale Christian College,QLD,4814,Annandale,school
388,Annandale North Public School,NSW,2038,Annandale,school
389,Annandale Public School,NSW,2038,Annandale,school
390,Annandale State School,QLD,4814,Annandale,school
391,Annangrove Public School,NSW,2156,Annangrove,school
392,Anne Hamersley Primary School,WA,6069,Ellenbrook,school
393,Annesley College,SA,5034,Wayville,school
394,Annunciation School,VIC,3012,Brooklyn,school
395,Anson Street School,NSW,2800,Orange,school
396,Antonine College,VIC,3044,Pascoe Vale South,school
397,Antonine College - Cedar Campus,VIC,3058,Coburg,school
398,Antonio Catholic School,SA,5162,Morphett Vale,school
399,Antonio Park Primary School,VIC,3132,Mitcham,school
400,Anula Primary School,NT,0812,Anula,school
401,Anzac Park Public School,NSW,2062,Cammeray,school
402,Anzac Terrace Primary School,WA,6054,Bassendean,school
403,Apollo Bay P-12 College,VIC,3233,Apollo Bay,school
404,Apollo Parkways Primary School,VIC,3088,Greensborough,school
405,Appin Park Primary School,VIC,3676,Wangaratta,school
406,Appin Public School,NSW,2560,Appin,school
407,Applecross Primary School,WA,6153,Applecross,school
408,Applecross Senior High School,WA,6153,Ardross,school
409,Applethorpe State School,QLD,4378,Applethorpe,school
410,Apsley Primary School,VIC,3319,Apsley,school
411,Aquinas Catholic College,NSW,2234,Menai,school
412,Aquinas College,VIC,3134,Ringwood,school
413,Aquinas College,QLD,4214,Ashmore,school
414,Aquinas College,WA,6152,Salter Point,school
415,Araluen Christian College,NT,0870,Alice Springs,school
416,Araluen Primary School,VIC,3850,Sale,school
417,Aramac State School,QLD,4726,Aramac,school
418,Aranda Primary School,ACT,2614,Aranda,school
419,Aranmore Catholic College,WA,6007,Leederville,school
420,Aranmore Catholic Primary School,WA,6007,Leederville,school
421,Ararat North Primary School,VIC,3377,Ararat,school
422,Ararat Primary School,VIC,3377,Ararat,school
423,Ararat Secondary College,VIC,3377,Ararat,school
424,Ararat Secondary College-School Farm Campus,VIC,3377,Ararat,school
425,Ararat West Primary School,VIC,3377,Ararat,school
426,Aratula State School,QLD,4309,Aratula,school
427,Arawang Primary School,ACT,2611,Waramanga,school
428,Arbor Grove Primary School,WA,6069,Ellenbrook,school
429,Arcadia College,QLD,4226,Robina,school
430,Arcadia Public School,NSW,2159,Arcadia,school
431,Arcadia Vale Public School,NSW,2283,Arcadia Vale,school
432,Arcadia Valley State School,QLD,4454,Arcadia Valley,school
433,Ardeer Primary School,VIC,3022,Ardeer,school
434,Ardeer South Primary School,VIC,3020,Sunshine West,school
435,Arden Anglican School,NSW,2119,Beecroft,school
436,"Arden Anglican School, Epping campus",NSW,2121,Epping,school
437,Ardlethan Central School,NSW,2665,Ardlethan,school
438,Ardmona Primary School,VIC,3629,Ardmona,school
439,Ardross Primary School,WA,6153,Ardross,school
440,Ardrossan Area School,SA,5571,Ardrossan,school
441,Ardtornish Primary School,SA,5097,St Agnes,school
442,Arethusa College,QLD,4508,Deception Bay,school
443,Arethusa College - Berrinba Temporary Facility,QLD,4117,Berrinba,school
444,Arethusa College - Forest Lake Temporary Facility,QLD,4078,Forest Lake,school
445,Arethusa College - Maroochydore Temporary Facility,QLD,4558,Maroochydore,school
446,Arethusa College - Spring Hill Campus,QLD,4004,Spring Hill,school
447,Arethusa College - West End Temporary Facility,QLD,4101,West End,school
448,Arethusa College - Windsor Campus,QLD,4030,Windsor,school
449,Areyonga School,NT,0872,Areyonga,school
450,Argenton Public School,NSW,2284,Argenton,school
451,Ariah Park Central School,NSW,2665,Ariah Park,school
452,Arise Christian College,NSW,2323,Metford,school
453,Arkana College,NSW,2208,Kingsgrove,school
454,Arlparra School,NT,0872,Utopia,school
455,Armadale Education Support Centre,WA,6112,Armadale,school
456,Armadale Primary School,WA,6112,Armadale,school
457,Armadale Primary School,VIC,3143,Armadale,school
458,Armadale Senior High School,WA,6112,Armadale,school
459,Armidale City Public School,NSW,2350,Armidale,school
460,Armidale Secondary College,NSW,2350,Armidale,school
461,Armstrong Creek School,VIC,3217,Armstrong Creek,school
462,Armstrong Creek School - Specialist P-12 Campus,VIC,3218,Armstrong Creek,school
463,Arncliffe Public School,NSW,2205,Arncliffe,school
464,Arncliffe West Infants School,NSW,2205,Arncliffe,school
465,Arndell Anglican College,NSW,2765,Oakville,school
466,Arndell School,NSW,2113,North Ryde,school
467,Arnolds Creek Primary School,VIC,3337,Harkness,school
468,Arrahman College,NSW,2179,Austral,school
469,Arranounbai School,NSW,2086,Frenchs Forest,school
470,Artarmon Public School,NSW,2064,Artarmon,school
471,Arthur Phillip High School,NSW,2150,Parramatta,school
472,Arthurs Creek Primary School,VIC,3099,Arthurs Creek,school
473,Arundel State School,QLD,4214,Arundel,school
474,Ascham School,NSW,2027,Edgecliff,school
475,Ascot Park Primary School,SA,5043,Park Holme,school
476,Ascot State School,QLD,4007,Ascot,school
477,Ascot Vale Heights School,VIC,3032,Ascot Vale,school
478,Ascot Vale Primary School,VIC,3032,Ascot Vale,school
479,Ascot Vale West Primary School,VIC,3032,Ascot Vale,school
480,Ashburton Drive Primary School,WA,6110,Gosnells,school
481,Ashburton Primary School,VIC,3147,Ashburton,school
482,Ashbury Public School,NSW,2193,Ashbury,school
483,Ashby Primary School,VIC,3218,Geelong West,school
484,Ashcroft High School,NSW,2168,Ashcroft,school
485,Ashcroft Public School,NSW,2168,Ashcroft,school
486,Ashdale Primary School,WA,6065,Darch,school
487,Ashdale Secondary College,WA,6065,Darch,school
488,Ashfield Boys High School,NSW,2131,Ashfield,school
489,Ashfield Primary School,WA,6054,Ashfield,school
490,Ashfield Public School,NSW,2131,Ashfield,school
491,Ashford Central School,NSW,2361,Ashford,school
492,Ashgrove State School,QLD,4060,Ashgrove,school
493,Ashley Park Primary School,VIC,3754,Doreen,school
494,Ashley School,TAS,7304,Deloraine,school
495,Ashmont Public School,NSW,2650,Wagga Wagga,school
496,Ashmore State School,QLD,4214,Ashmore,school
497,Ashtonfield Public School,NSW,2323,Ashtonfield,school
498,Ashwell State School,QLD,4340,Ashwell,school
499,Ashwood High School,VIC,3147,Ashwood,school
500,Ashwood School,VIC,3147,Ashwood,school
501,Ashwood School-Garfield North Outdoor Education Centre,VIC,3814,Garfield North,school
502,Aspect Central Coast School,NSW,2260,Terrigal,school
503,Aspect Central Coast School Senior College,NSW,2260,Terrigal,school
504,"Aspect Central Coast School, East Gosford",NSW,2250,East Gosford,school
505,"Aspect Central Coast School, Noraville",NSW,2263,Noraville,school
506,"Aspect Central Coast School, Tuggerah",NSW,2259,Tuggerah,school
507,"Aspect Central Coast School, Woy Woy",NSW,2256,Woy Woy,school
508,Aspect Hunter School,NSW,2322,Thornton,school
509,"Aspect Hunter School, Abermain Satellite",NSW,2326,Abermain,school
510,"Aspect Hunter School, Muswellbrook Satellite",NSW,2333,Muswellbrook,school
511,"Aspect Hunter School, Port Macquarie High School Satellite",NSW,2444,Port Macquarie,school
512,"Aspect Hunter School, Port Macquarie Primary Satellite",NSW,2444,Port Macquarie,school
513,"Aspect Hunter School, Tarro Satellite",NSW,2322,Tarro,school
514,"Aspect Hunter School, Waratah West Satellite",NSW,2289,Waratah West,school
515,Aspect Macarthur School,NSW,2570,Cobbitty,school
516,"Aspect Macarthur School, Airds",NSW,2560,Campbelltown South,school
517,"Aspect Macarthur School, Campbelltown",NSW,2560,Campbelltown,school
518,"Aspect Macarthur School, Holsworthy",NSW,2173,Holsworthy,school
519,"Aspect Macarthur School, Minto",NSW,2566,Minto,school
520,"Aspect Macarthur School, Northern Rivers Coffs Harbour",NSW,2450,Coffs Harbour,school
521,"Aspect Macarthur School, West Hoxton",NSW,2171,West Hoxton,school
522,Aspect Riverina School,NSW,2640,Albury,school
523,Aspect Riverina School Wagga Campus,NSW,2678,Wagga Wagga,school
524,"Aspect Riverina School, Kiewa Street Albury Campus",NSW,2640,Albury,school
525,"Aspect Riverina School, Moresby Park Centre",NSW,2640,North Albury,school
526,"Aspect Riverina School, North Albury Campus",NSW,2640,Albury,school
527,"Aspect Riverina School, Wagga Wagga Campus",NSW,2650,Kooringal,school
528,Aspect South Coast School,NSW,2518,Corrimal,school
529,"Aspect South Coast School, Albion Park",NSW,2527,Albion Park,school
530,"Aspect South Coast School, Barrack Heights",NSW,2528,Barrack Heights,school
531,"Aspect South Coast School, Unanderra",NSW,2526,Unanderra,school
532,"Aspect South Coast School, Wollongong University",NSW,2522,Wollongong,school
533,Aspect South East Sydney School,NSW,2210,Peakhurst,school
534,"Aspect South East Sydney School, Auburn",NSW,2144,Auburn,school
535,"Aspect South East Sydney School, Belfield",NSW,2191,Belfield,school
536,"Aspect South East Sydney School, Caringbah",NSW,2229,Caringbah,school
537,"Aspect South East Sydney School, Croydon",NSW,2132,Croydon,school
538,"Aspect South East Sydney School, Hurstville",NSW,2220,Hurstville,school
539,"Aspect South East Sydney School, Kareela",NSW,2232,Kareela,school
540,"Aspect South East Sydney School, Leichhardt",NSW,2040,Leichhardt,school
541,"Aspect South East Sydney School, Loftus",NSW,2232,Loftus,school
542,"Aspect South East Sydney School, Maroubra",NSW,2035,Maroubra,school
543,"Aspect South East Sydney School, Marrickville",NSW,2204,Marrickville,school
544,"Aspect South East Sydney School, Menai",NSW,2234,Menai,school
545,"Aspect South East Sydney School, Regents Park",NSW,2143,Regents Park,school
546,Aspect Treetop School,SA,5035,Ashford,school
547,Aspect Vern Barnett School,NSW,2087,Forestville,school
548,"Aspect Vern Barnett School, Eastwood",NSW,2122,Eastwood,school
549,"Aspect Vern Barnett School, Forestville",NSW,2087,Forestville,school
550,"Aspect Vern Barnett School, Lane Cove",NSW,2066,Lane Cove,school
551,"Aspect Vern Barnett School, Mona Vale",NSW,2103,Mona Vale,school
552,"Aspect Vern Barnett School, St Ives",NSW,2075,St Ives,school
553,Aspect Western Sydney School,NSW,2164,Wetherill Park,school
554,"Aspect Western Sydney School, Blacktown",NSW,2148,Blacktown,school
555,"Aspect Western Sydney School, Bourke Street, Richmond",NSW,2753,Richmond,school
556,"Aspect Western Sydney School, Castle Hill",NSW,2154,Castle Hill,school
557,"Aspect Western Sydney School, Kemps Creek - Emmaus",NSW,2178,Kemps Creek,school
558,"Aspect Western Sydney School, Kemps Creek - Trinity",NSW,2178,Kemps Creek,school
559,"Aspect Western Sydney School, Quakers Road, Marayong",NSW,2148,Marayong,school
560,"Aspect Western Sydney School, Schofields",NSW,2762,Schofields,school
561,"Aspect Western Sydney School, Smithfield",NSW,2164,Smithfield,school
562,"Aspect Western Sydney School, Springwood",NSW,2777,Springwood,school
563,"Aspect Western Sydney School, St Andrews College Senior Campus",NSW,2148,Marayong,school
564,"Aspect Western Sydney School, St Joseph's",NSW,2762,Schofields,school
565,"Aspect Western Sydney School, St Thomas Aquinas",NSW,2777,Springwood,school
566,"Aspect Western Sydney School, Windsor Street, Richmond",NSW,2753,Richmond,school
567,Aspendale Gardens Primary School,VIC,3195,Aspendale Gardens,school
568,Aspendale Primary School,VIC,3195,Aspendale,school
569,Aspiri Primary School,WA,6112,Piara Waters,school
570,Aspley East State School,QLD,4034,Aspley,school
571,Aspley Special School,QLD,4034,Aspley,school
572,Aspley State High School,QLD,4034,Aspley,school
573,Aspley State School,QLD,4034,Aspley,school
574,Asquith Boys High School,NSW,2077,Asquith,school
575,Asquith Girls High School,NSW,2077,Asquith,school
576,Asquith Public School,NSW,2077,Asquith,school
577,Assisi Catholic College,QLD,4209,Upper Coomera,school
578,Assumption Catholic Primary School,WA,6210,Mandurah,school
579,Assumption College,QLD,4370,Warwick,school
580,Assumption College,VIC,3764,Kilmore,school
581,Athelstane Public School,NSW,2205,Arncliffe,school
582,Athelstone School,SA,5076,Athelstone,school
583,Atherton State High School,QLD,4883,Atherton,school
584,Atherton State School,QLD,4883,Atherton,school
585,Athol Road Primary School,VIC,3172,Springvale South,school
586,Atlantis Beach Baptist College,WA,6037,Two Rocks,school
587,Attadale Primary School,WA,6156,Attadale,school
588,Attunga Public School,NSW,2345,Attunga,school
589,Atwell College,WA,6164,Atwell,school
590,Atwell Primary School,WA,6164,Atwell,school
591,Aubin Grove Primary School,WA,6164,Aubin Grove,school
592,Auburn Girls High School,NSW,2144,Auburn,school
593,Auburn High School,VIC,3123,Hawthorn East,school
594,Auburn North Public School,NSW,2144,Auburn,school
595,Auburn Primary School,VIC,3123,Hawthorn East,school
596,Auburn Primary School,SA,5451,Auburn,school
597,Auburn Public School,NSW,2144,Auburn,school
598,Auburn South Primary School,VIC,3123,Hawthorn East,school
599,Auburn West Public School,NSW,2144,Auburn,school
600,Augathella State School,QLD,4477,Augathella,school
601,Augusta Park Primary School,SA,5700,Port Augusta,school
602,Augusta Primary School,WA,6290,Augusta,school
603,Augusta State School,QLD,4300,Augustine Heights,school
604,Aurora College,NSW,2066,Lane Cove North,school
605,Aurora School,VIC,3130,Blackburn South,school
606,Aurora Southern Highlands Steiner School,NSW,2576,Bowral,school
607,Aurukun State School,QLD,4892,Aurukun,school
608,Austin Cove Baptist College,WA,6208,South Yunderup,school
609,Austin Cove Baptist College - California Crescent Campus,WA,6208,South Yunderup,school
610,Austin Hospital School,VIC,3084,Heidelberg,school
611,Austinmer Public School,NSW,2515,Austinmer,school
612,Austins Ferry Primary School,TAS,7011,Claremont,school
613,Austral Public School,NSW,2179,Austral,school
614,Australia Street Infants School,NSW,2042,Newtown,school
615,Australian Christian College - Benalla,VIC,3672,Benalla,school
616,Australian Christian College Casey,VIC,3977,Skye,school
617,Australian Christian College - Burnie,TAS,7322,Somerset,school
618,Australian Christian College - Darling Downs,WA,6112,Brookdale,school
619,Australian Christian College - Hobart,TAS,7015,Geilston Bay,school
620,Australian Christian College - Launceston,TAS,7248,Newnham,school
621,Australian Christian College - Marsden Park,NSW,2765,Riverstone,school
622,Australian Christian College - Moreton,QLD,4510,Caboolture,school
623,Australian Christian College - Singleton,NSW,2330,Singleton,school
624,Australian Christian College - Southlands,WA,6330,Albany,school
625,Australian Industry Trade College,QLD,4226,Robina,school
626,Australian Industry Trade College - Brisbane,QLD,4000,Spring Hill,school
627,Australian Industry Trade College - Ipswich,QLD,4305,North Ipswich,school
628,Australian Industry Trade College - Redlands,QLD,4163,Cleveland,school
629,Australian Industry Trade College - Sunshine Coast,QLD,4558,Maroochydore,school
630,Australian Industry Trade College - Toowoomba,QLD,4350,Toowoomba City,school
631,Australian International Academy of Education,VIC,3058,Coburg,school
